sekunda,plama_px,plam,tlo_px,zapisana
66.2,0,0,0,0
66.5,0,0,0,0
66.8,0,0,130,0
67.0,0,0,0,0
67.2,0,0,0,0
67.5,0,0,0,0
67.8,0,0,242,0
68.0,0,0,0,0
68.2,0,0,0,0
68.5,0,0,0,0
68.8,0,0,245,0
69.0,0,0,0,0
69.2,0,0,0,0
69.5,0,0,0,0
69.8,0,0,97,0
70.0,0,0,0,0
70.2,0,0,0,0
70.5,0,0,0,0
70.8,0,0,277,0
71.0,0,0,0,0
71.2,0,0,0,0
71.5,0,0,0,0
71.8,0,0,219,0
72.0,0,0,0,0
72.2,0,0,0,0
72.5,0,0,0,0
72.8,0,0,86,0
73.0,0,0,0,0
73.2,0,0,0,0
73.5,0,0,0,0
73.8,0,0,269,0
74.0,0,0,0,0
74.2,0,0,0,0
74.5,0,0,0,0
74.8,0,0,245,0
75.0,0,0,0,0
75.2,0,0,0,0
75.5,0,0,0,0
75.8,0,0,211,0
76.0,0,0,0,0
76.2,0,0,0,0
76.5,0,0,0,0
76.8,0,0,134,0
77.0,0,0,0,0
77.2,0,0,0,0
77.5,0,0,0,0
77.8,0,0,240,0
78.0,0,0,0,0
78.2,0,0,0,0
78.5,0,0,0,0
78.8,0,0,243,0
79.0,0,0,0,0
79.2,0,0,0,0
79.5,0,0,0,0
79.8,0,0,97,0
80.0,0,0,0,0
80.2,0,0,0,0
80.5,0,0,0,0
80.8,0,0,269,0
81.0,0,0,0,0
81.2,0,0,0,0
81.5,0,0,0,0
81.8,0,0,213,0
82.0,0,0,0,0
82.2,0,0,0,0
82.5,0,0,0,0
82.8,0,0,91,0
83.0,0,0,0,0
83.2,0,0,0,0
83.5,0,0,0,0
83.8,0,0,374,0
84.0,0,0,0,0
84.2,0,0,0,0
84.5,0,0,0,0
84.8,0,0,252,0
85.0,0,0,0,0
85.2,0,0,0,0
85.5,0,0,0,0
85.8,0,0,211,0
86.0,0,0,0,0
86.2,0,0,0,0
86.5,0,0,0,0
86.8,0,0,130,0
87.0,0,0,0,0
87.2,0,0,0,0
87.5,0,0,0,0
87.8,0,0,237,0
88.0,0,0,0,0
88.2,0,0,0,0
88.5,0,0,0,0
88.8,0,0,241,0
89.0,0,0,0,0
89.2,0,0,0,0
89.5,0,0,0,0
89.8,0,0,95,0
90.0,0,0,0,0
90.2,0,0,0,0
90.5,0,0,0,0
90.8,0,0,273,0
91.0,0,0,0,0
91.2,0,0,0,0
91.5,0,0,0,0
91.8,0,0,211,0
92.0,0,0,0,0
92.2,0,0,0,0
92.5,0,0,0,0
92.8,0,0,87,0
93.0,0,0,0,0
93.2,0,0,0,0
93.5,0,0,0,0
93.8,0,0,366,0
94.0,0,0,0,0
94.2,0,0,0,0
94.5,0,0,0,0
94.8,0,0,245,0
95.0,0,0,0,0
95.2,0,0,0,0
95.5,0,0,0,0
95.8,0,0,210,0
96.0,0,0,0,0
96.2,0,0,0,0
96.5,0,0,0,0
96.8,0,0,125,0
97.0,0,0,0,0
97.2,0,0,0,0
97.5,0,0,0,0
97.8,0,0,245,0
98.0,0,0,0,0
98.2,0,0,0,0
98.5,0,0,0,0
98.8,0,0,236,0
99.0,0,0,0,0
99.2,0,0,0,0
99.5,0,0,0,0
99.8,0,0,97,0
100.0,0,0,0,0
100.2,0,0,0,0
100.5,0,0,0,0
100.8,0,0,269,0
101.0,0,0,0,0
101.2,0,0,0,0
101.5,0,0,0,0
101.8,0,0,205,0
102.0,0,0,0,0
102.2,0,0,0,0
102.5,0,0,0,0
102.8,0,0,91,0
103.0,0,0,0,0
103.2,0,0,0,0
103.5,0,0,0,0
103.8,0,0,579,0
104.0,0,0,0,0
104.2,0,0,0,0
104.5,0,0,0,0
104.8,0,0,253,0
105.0,0,0,0,0
105.2,0,0,0,0
105.5,0,0,0,0
105.8,0,0,210,0
106.0,0,0,0,0
106.2,0,0,0,0
106.5,0,0,0,0
106.8,0,0,133,0
107.0,0,0,0,0
107.2,0,0,0,0
107.5,0,0,0,0
107.8,0,0,241,0
108.0,0,0,0,0
108.2,0,0,0,0
108.5,0,0,0,0
108.8,0,0,235,0
109.0,0,0,0,0
109.2,0,0,0,0
109.5,0,0,0,0
109.8,0,0,94,0
110.0,0,0,0,0
110.2,0,0,0,0
110.5,0,0,0,0
110.8,0,0,272,0
111.0,0,0,0,0
111.2,0,0,0,0
111.5,0,0,0,0
111.8,0,0,215,0
112.0,0,0,0,0
112.2,0,0,0,0
112.5,0,0,0,0
112.8,0,0,94,0
113.0,0,0,0,0
113.2,0,0,0,0
113.5,0,0,0,0
113.8,0,0,388,0
114.0,0,0,0,0
114.2,0,0,0,0
114.5,0,0,0,0
114.8,0,0,250,0
115.0,0,0,0,0
115.2,0,0,0,0
115.5,0,0,0,0
115.8,0,0,212,0
116.0,0,0,0,0
116.2,0,0,0,0
116.5,0,0,0,0
116.8,0,0,130,0
117.0,0,0,0,0
117.2,1718,1,0,1
117.5,1714,2,0,1
117.8,150,1,239,1
118.0,0,0,0,0
118.2,0,0,0,0
118.5,0,0,0,0
118.8,0,0,241,0
119.0,0,0,0,0
119.2,0,0,0,0
119.5,0,0,0,0
119.8,0,0,92,0
120.0,0,0,0,0
120.2,0,0,0,0
120.5,0,0,0,0
120.8,0,0,273,0
121.0,0,0,0,0
121.2,0,0,0,0
121.5,0,0,0,0
121.8,0,0,211,0
122.0,0,0,896,0
122.2,0,0,903,0
122.5,0,0,0,0
122.8,0,0,91,0
123.0,0,0,0,0
123.2,0,0,0,0
123.5,0,0,0,0
123.8,0,0,339,0
124.0,0,0,0,0
124.2,0,0,0,0
124.5,0,0,0,0
124.8,0,0,246,0
125.0,0,0,0,0
125.2,0,0,0,0
125.5,0,0,0,0
125.8,0,0,211,0
126.0,0,0,0,0
126.2,0,0,0,0
126.5,0,0,0,0
126.8,0,0,130,0
127.0,0,0,0,0
127.2,0,0,0,0
127.5,0,0,0,0
127.8,0,0,247,0
128.0,0,0,0,0
128.2,0,0,0,0
128.5,0,0,0,0
128.8,0,0,242,0
129.0,0,0,0,0
129.2,0,0,0,0
129.5,0,0,0,0
129.8,0,0,95,0
130.0,0,0,0,0
130.2,0,0,0,0
130.5,0,0,0,0
130.8,0,0,276,0
131.0,0,0,0,0
131.2,0,0,0,0
131.5,0,0,0,0
131.8,0,0,211,0
132.0,0,0,0,0
132.2,0,0,0,0
132.5,0,0,0,0
132.8,0,0,93,0
133.0,0,0,0,0
133.2,0,0,0,0
133.5,0,0,0,0
